,Naslov,Mesto,Gradska lokacija,Povrsina stana,Broj soba,Spratnost,Cena nekretnine,Cena po kvadratu,Oglasivac
0,PRELEP DVOSOBAN STAN U STROGOM CENTRU RENOVIRANO,Jagodina,Centar,52m2,2.0,I/3,36.000€,692 €/m2,AGENCIJA
1,TOP PONUDA-JEDNOSOBAN KOMFORAN STAN,Jagodina,Strelište,40m2,1.0,II/2,21.900€,548 €/m2,AGENCIJA
2,"JAGODINA, STRELIŠTE, JEDNOSOBAN SA GARAŽOM 75 mkv ",Jagodina,Omladinskih brigada,45m2,1.5,VPR/2,31.000€,689 €/m2,VLASNIK
3,Veći jednosoban stan sa svim stvarima,Jagodina,Aqua park,50m2,1.5,V/5,39.000€,780 €/m2,AGENCIJA
4,Dvosoban stan u centru,Jagodina,Centar,53m2,2.0,II/4,34.000€,642 €/m2,AGENCIJA
5,GARSONJERA FUNKCIONALNE STRUKTURE,Jagodina,Budžino brdo,27m2,0.5,VPR/2,17.000€,630 €/m2,AGENCIJA
6,GARSONJERA U SIREM CENTRU,Jagodina,Centar,25m2,0.5,IV/5,23.000€,920 €/m2,AGENCIJA
7,GARSONJERA FUNKCIONALNE STRUKTURE,Jagodina,Centar,25m2,0.5,IV/4,12.900€,516 €/m2,AGENCIJA
8,GARSONJERA U STROGOM CENTRU ,Jagodina,Centar,20m2,0.5,IV/4,15.000€,750 €/m2,AGENCIJA
9,STAN KOMPLETNO OPREMLJEN FUNKCIONALNOG RASPOREDA,Jagodina,Centar,32m2,1.0,VI/6,24.000€,750 €/m2,AGENCIJA
10,TROSOBAN STAN U CENTRU,Jagodina,Centar,76m2,3.0,I/4,55.000€,724 €/m2,AGENCIJA
11,Dvoiposoban stan u centru,Jagodina,Centar,67m2,2.0,II/6,38.000€,567 €/m2,AGENCIJA
12,Garsonjera,Jagodina,Strelište,20m2,0.5,V/5,10.000€,500 €/m2,AGENCIJA
13,GARSONJERA KOD PEDAGOSKOG FAKULTETA,Jagodina,Kajsijar,30m2,0.5,PSUT/5,16.500€,550 €/m2,AGENCIJA
14,Dvosoban stan u strogom centru,Jagodina,Centar,58m2,2.0,X/11,30.000€,517 €/m2,AGENCIJA
15,Jednosoban stan    ,Jagodina,Tabane,37m2,2.0,VPR/3,25.000€,676 €/m2,AGENCIJA
16,Dvosoban stan u centru,Jagodina,Centar,58m2,2.0,III/4,38.000€,655 €/m2,AGENCIJA
17,Dvosoban stan u centru,Jagodina,Centar,61m2,2.5,V/5,32.000€,525 €/m2,AGENCIJA
18,TROSOBAN STAN U CENTRU,Jagodina,Centar,93m2,3.0,V/6,80.000€,860 €/m2,AGENCIJA
19,Veća garsonjera u centru,Jagodina,Centar,29m2,1.0,VPR/4,20.000€,690 €/m2,AGENCIJA
20,PRELEP DVOSOBAN STAN U STROGOM CENTRU RENOVIRANO,Jagodina,Centar,52m2,2.0,I/3,36.000€,692 €/m2,AGENCIJA
21,KOMFORAN STAN FUNKCIONALNE STRUKTURE,Jagodina,Strelište,60m2,2.0,I/2,34.900€,582 €/m2,AGENCIJA
22,Garsonjera u centru grada,Jagodina,Centar,22m2,0.5,PR/5,16.500€,750 €/m2,AGENCIJA
23,Manji jednosoban stan,Jagodina,Centar,35m2,1.0,IV/4,22.000€,629 €/m2,AGENCIJA
24,TROSOBAN STAN U CENTRU,Jagodina,Centar,75m2,3.0,III/4,50.000€,667 €/m2,AGENCIJA
25,JEDNOSOBAN KOMFORAN STAN,Jagodina,Kajsijar,44m2,1.0,VPR/4,30.000€,682 €/m2,AGENCIJA
26,TOP PONUDA-JEDNOSOBAN KOMFORAN STAN,Jagodina,Strelište,40m2,1.0,II/2,21.900€,548 €/m2,AGENCIJA
27,JEDNOSOBAN STAN U CENTRU,Jagodina,Centar,35m2,1.0,III/5,22.900€,654 €/m2,AGENCIJA
